frame_id,formation_type,count
0,4-2-4,1
0,4-4-2,1
1,2-3-5,1
1,4-2-4,1
2,2-3-5,1
2,4-2-4,1
3,2-3-5,1
3,4-2-4,1
4,2-3-5,1
4,4-2-4,1
5,2-3-5,1
5,4-2-4,1
6,2-3-5,1
6,4-2-4,1
7,2-3-5,1
7,4-2-4,1
8,2-3-5,1
8,4-2-4,1
9,2-3-5,1
9,4-2-4,1
10,3-4-3,1
10,4-2-4,1
11,3-4-3,1
11,4-2-4,1
12,3-4-3,1
12,4-2-4,1
13,2-3-5,1
13,4-2-4,1
14,2-3-5,1
14,4-2-4,1
15,2-3-5,1
15,4-2-4,1
16,2-3-5,1
16,4-2-4,1
17,3-4-3,1
17,4-2-4,1
18,3-4-3,1
18,4-2-4,1
19,3-4-3,1
19,4-2-4,1
20,2-3-5,1
20,4-4-2,1
21,2-3-5,1
21,4-4-2,1
22,2-3-5,1
22,4-2-4,1
23,2-3-5,1
23,4-2-4,1
24,2-3-5,1
24,4-2-4,1
25,2-3-5,1
25,4-2-4,1
26,2-3-5,1
26,4-2-4,1
27,2-3-5,1
27,4-2-4,1
28,2-3-5,1
28,4-2-4,1
29,2-3-5,1
29,4-2-4,1
30,2-3-5,1
30,4-2-4,1
31,2-3-5,1
31,4-2-4,1
32,2-3-5,1
32,4-2-4,1
33,2-3-5,1
33,4-2-4,1
34,2-3-5,1
34,4-2-4,1
35,2-3-5,1
35,4-2-4,1
36,2-3-5,1
36,4-2-4,1
37,2-3-5,1
37,4-2-4,1
38,2-3-5,1
38,4-2-4,1
39,2-3-5,1
39,4-2-4,1
40,2-3-5,1
40,4-2-4,1
41,2-3-5,1
41,4-2-4,1
42,2-3-5,1
42,4-2-4,1
43,2-3-5,1
43,4-4-2,1
44,2-3-5,1
44,4-4-2,1
45,2-3-5,1
45,4-4-2,1
46,2-3-5,1
46,4-4-2,1
47,2-3-5,1
47,4-4-2,1
48,2-3-5,1
48,4-4-2,1
49,2-3-5,1
49,4-4-2,1
50,2-3-5,1
50,4-4-2,1
51,2-3-5,1
51,4-4-2,1
52,2-3-5,1
52,4-4-2,1
53,2-3-5,1
53,4-4-2,1
54,2-3-5,1
54,4-4-2,1
55,2-3-5,1
55,4-4-2,1
56,2-3-5,1
56,4-4-2,1
57,2-3-5,1
57,4-4-2,1
58,2-3-5,1
58,4-4-2,1
