formation_3-4-3,formation_type,frequency
0,0,19
0,1,19
0,2,19
0,3,19
0,4,19
0,5,19
0,6,19
0,7,19
0,8,19
0,9,19
1,10,19
1,11,19
1,12,19
0,13,19
0,14,19
0,15,19
0,16,19
1,17,19
1,18,19
1,19,19
0,20,19
0,21,19
0,22,19
0,23,19
0,24,19
0,25,19
0,26,19
0,27,19
0,28,19
0,29,19
0,30,19
0,31,19
0,32,19
0,33,19
0,34,19
0,35,19
0,36,19
0,37,19
0,38,19
0,39,19
0,40,19
0,41,19
0,42,19
0,43,19
0,44,19
0,45,19
0,46,19
0,47,19
0,48,19
0,49,19
0,50,19
0,51,19
0,52,19
0,53,19
0,54,19
0,55,19
0,56,19
0,57,19
0,58,19
0,59,19
0,60,19
0,61,19
1,62,19
1,63,19
1,64,19
1,65,19
1,66,19
0,67,19
0,68,19
0,69,19
0,70,19
0,71,19
0,72,19
0,73,19
0,74,19
1,75,19
1,76,19
1,77,19
1,78,19
0,79,19
0,80,19
0,81,19
0,82,19
0,83,19
0,84,19
0,85,19
0,86,19
0,87,19
0,88,19
0,89,19
0,90,19
0,91,19
0,92,19
0,93,19
0,94,19
1,95,19
0,96,19
0,97,19
0,98,19
0,99,19
0,100,19
0,101,19
0,102,19
0,103,19
0,104,19
0,105,19
0,106,19
0,107,19
0,108,19
0,109,19
0,110,19
0,111,19
0,112,19
0,113,19
0,114,19
0,115,19
0,116,19
0,117,19
0,118,19
0,119,19
0,120,19
0,121,19
0,122,19
0,123,19
0,124,19
0,125,19
0,126,19
0,127,19
0,128,19
0,129,19
0,130,19
0,131,19
0,132,19
0,133,19
0,134,19
0,135,19
0,136,19
0,137,19
0,138,19
0,139,19
0,140,19
0,141,19
0,142,19
0,143,19
0,144,19
0,145,19
0,146,19
0,147,19
0,148,19
0,149,19
0,150,19
0,151,19
0,152,19
0,153,19
1,154,19
1,155,19
1,156,19
0,157,19
0,158,19
0,159,19
0,160,19
0,161,19
0,162,19
0,163,19
0,164,19
0,165,19
0,166,19
0,167,19
0,168,19
