match_identifier,formation_consistency_variance
0,0.5
1,2.0
2,2.0
3,2.0
4,2.0
5,2.0
6,2.0
7,2.0
8,2.0
9,2.0
10,0.5
11,0.5
12,0.5
13,2.0
14,2.0
15,2.0
16,2.0
17,0.5
18,0.5
19,0.5
20,4.5
21,4.5
22,2.0
23,2.0
24,2.0
25,2.0
26,2.0
27,2.0
28,2.0
29,2.0
30,2.0
31,2.0
32,2.0
33,2.0
34,2.0
35,2.0
36,2.0
37,2.0
38,2.0
39,2.0
40,2.0
41,2.0
42,2.0
43,4.5
44,4.5
45,4.5
46,4.5
47,4.5
48,4.5
49,4.5
50,4.5
51,4.5
52,4.5
53,4.5
54,4.5
55,4.5
56,4.5
57,4.5
58,4.5
59,4.5
60,4.5
61,4.5
62,0.5
63,0.5
64,0.5
65,0.5
66,0.5
67,4.5
68,4.5
69,4.5
70,4.5
71,4.5
72,4.5
73,4.5
74,4.5
75,0.5
76,0.5
77,0.5
78,0.5
79,4.5
80,4.5
81,4.5
82,4.5
83,4.5
84,4.5
85,4.5
86,2.0
87,2.0
88,2.0
89,2.0
90,2.0
91,2.0
92,2.0
93,2.0
94,2.0
95,0.5
96,4.5
97,4.5
98,4.5
99,4.5
100,4.5
101,4.5
102,4.5
103,4.5
104,4.5
105,4.5
106,4.5
107,4.5
108,4.5
109,4.5
110,4.5
111,4.5
112,4.5
113,2.0
114,2.0
115,2.0
116,2.0
117,2.0
118,2.0
119,2.0
120,2.0
121,2.0
122,2.0
123,2.0
124,2.0
125,2.0
126,2.0
127,2.0
128,2.0
129,2.0
130,2.0
131,2.0
132,2.0
133,2.0
134,2.0
135,2.0
136,2.0
137,2.0
138,2.0
139,2.0
140,2.0
141,2.0
142,2.0
143,2.0
144,2.0
145,2.0
146,2.0
147,2.0
148,2.0
149,2.0
150,2.0
151,2.0
152,2.0
153,2.0
154,0.5
155,0.5
156,0.5
157,4.5
158,4.5
159,4.5
160,4.5
161,2.0
162,2.0
163,2.0
164,2.0
165,2.0
166,2.0
167,2.0
168,2.0
