,frame_id,formation_type
0,0,4-4-2
1,1,4-2-4
2,2,4-2-4
3,3,4-2-4
4,4,4-2-4
5,5,4-2-4
6,6,4-2-4
7,7,2-3-5
8,8,2-3-5
9,9,4-2-4
10,10,4-2-4
11,11,4-2-4
12,12,4-2-4
13,13,4-2-4
14,14,4-2-4
15,15,4-2-4
16,16,2-3-5
17,17,4-2-4
18,18,4-2-4
19,19,4-2-4
20,20,2-3-5
21,21,2-3-5
22,22,4-2-4
23,23,4-2-4
24,24,2-3-5
25,25,2-3-5
26,26,2-3-5
27,27,2-3-5
28,28,2-3-5
29,29,2-3-5
30,30,2-3-5
31,31,2-3-5
32,32,2-3-5
33,33,4-2-4
34,34,4-2-4
35,35,4-2-4
36,36,4-2-4
37,37,4-2-4
38,38,4-2-4
39,39,4-2-4
40,40,4-2-4
41,41,4-2-4
42,42,4-2-4
43,43,2-3-5
44,44,2-3-5
45,45,2-3-5
46,46,2-3-5
47,47,2-3-5
48,48,2-3-5
49,49,2-3-5
50,50,2-3-5
51,51,2-3-5
52,52,2-3-5
53,53,2-3-5
54,54,2-3-5
55,55,2-3-5
56,56,2-3-5
57,57,2-3-5
58,58,2-3-5
59,59,2-3-5
60,60,2-3-5
61,61,2-3-5
62,62,4-2-4
63,63,4-2-4
64,64,4-2-4
65,65,4-2-4
66,66,4-2-4
67,67,2-3-5
68,68,2-3-5
69,69,2-3-5
70,70,2-3-5
71,71,2-3-5
72,72,2-3-5
73,73,2-3-5
74,74,2-3-5
75,75,4-2-4
76,76,4-2-4
77,77,4-2-4
78,78,4-2-4
79,79,2-3-5
80,80,2-3-5
81,81,2-3-5
82,82,2-3-5
83,83,2-3-5
84,84,2-3-5
85,85,2-3-5
86,86,2-3-5
87,87,2-3-5
88,88,2-3-5
89,89,2-3-5
90,90,2-3-5
91,91,2-3-5
92,92,2-3-5
93,93,2-3-5
94,94,2-3-5
95,95,4-2-4
96,96,2-3-5
97,97,2-3-5
98,98,2-3-5
99,99,2-3-5
100,100,2-3-5
101,101,2-3-5
102,102,2-3-5
103,103,2-3-5
104,104,2-3-5
105,105,4-4-2
106,106,4-4-2
107,107,2-3-5
108,108,2-3-5
109,109,2-3-5
110,110,4-4-2
111,111,4-4-2
112,112,4-4-2
113,113,2-3-5
114,114,2-3-5
115,115,4-2-4
116,116,4-2-4
117,117,4-2-4
118,118,4-2-4
119,119,4-2-4
120,120,2-3-5
121,121,2-3-5
122,122,2-3-5
123,123,2-3-5
124,124,2-3-5
125,125,2-3-5
126,126,2-3-5
127,127,2-3-5
128,128,2-3-5
129,129,2-3-5
130,130,2-3-5
131,131,2-3-5
132,132,4-2-4
133,133,4-2-4
134,134,4-2-4
135,135,4-2-4
136,136,4-2-4
137,137,4-2-4
138,138,4-2-4
139,139,4-2-4
140,140,2-3-5
141,141,2-3-5
142,142,2-3-5
143,143,2-3-5
144,144,2-3-5
145,145,4-2-4
146,146,4-2-4
147,147,4-2-4
148,148,4-2-4
149,149,4-2-4
150,150,4-2-4
151,151,4-2-4
152,152,4-2-4
153,153,4-2-4
154,154,3-4-3
155,155,3-4-3
156,156,3-4-3
157,157,4-4-2
158,158,4-4-2
159,159,4-4-2
160,160,4-4-2
161,161,2-3-5
162,162,2-3-5
163,163,2-3-5
164,164,2-3-5
165,165,2-3-5
166,166,2-3-5
167,167,2-3-5
168,168,4-2-4
