,frame_id,formation_type
0,0,4-2-4
1,1,2-3-5
2,2,2-3-5
3,3,2-3-5
4,4,2-3-5
5,5,2-3-5
6,6,2-3-5
7,7,4-2-4
8,8,4-2-4
9,9,2-3-5
10,10,3-4-3
11,11,3-4-3
12,12,3-4-3
13,13,2-3-5
14,14,2-3-5
15,15,2-3-5
16,16,4-2-4
17,17,3-4-3
18,18,3-4-3
19,19,3-4-3
20,20,4-4-2
21,21,4-4-2
22,22,2-3-5
23,23,2-3-5
24,24,4-2-4
25,25,4-2-4
26,26,4-2-4
27,27,4-2-4
28,28,4-2-4
29,29,4-2-4
30,30,4-2-4
31,31,4-2-4
32,32,4-2-4
33,33,2-3-5
34,34,2-3-5
35,35,2-3-5
36,36,2-3-5
37,37,2-3-5
38,38,2-3-5
39,39,2-3-5
40,40,2-3-5
41,41,2-3-5
42,42,2-3-5
43,43,4-4-2
44,44,4-4-2
45,45,4-4-2
46,46,4-4-2
47,47,4-4-2
48,48,4-4-2
49,49,4-4-2
50,50,4-4-2
51,51,4-4-2
52,52,4-4-2
53,53,4-4-2
54,54,4-4-2
55,55,4-4-2
56,56,4-4-2
57,57,4-4-2
58,58,4-4-2
59,59,4-4-2
60,60,4-4-2
61,61,4-4-2
62,62,3-4-3
63,63,3-4-3
64,64,3-4-3
65,65,3-4-3
66,66,3-4-3
67,67,4-4-2
68,68,4-4-2
69,69,4-4-2
70,70,4-4-2
71,71,4-4-2
72,72,4-4-2
73,73,4-4-2
74,74,4-4-2
75,75,3-4-3
76,76,3-4-3
77,77,3-4-3
78,78,3-4-3
79,79,4-4-2
80,80,4-4-2
81,81,4-4-2
82,82,4-4-2
83,83,4-4-2
84,84,4-4-2
85,85,4-4-2
86,86,4-2-4
87,87,4-2-4
88,88,4-2-4
89,89,4-2-4
90,90,4-2-4
91,91,4-2-4
92,92,4-2-4
93,93,4-2-4
94,94,4-2-4
95,95,3-4-3
96,96,4-4-2
97,97,4-4-2
98,98,4-4-2
99,99,4-4-2
100,100,4-4-2
101,101,4-4-2
102,102,4-4-2
103,103,4-4-2
104,104,4-4-2
105,105,2-3-5
106,106,2-3-5
107,107,4-4-2
108,108,4-4-2
109,109,4-4-2
110,110,2-3-5
111,111,2-3-5
112,112,2-3-5
113,113,4-2-4
114,114,4-2-4
115,115,2-3-5
116,116,2-3-5
117,117,2-3-5
118,118,2-3-5
119,119,2-3-5
120,120,4-2-4
121,121,4-2-4
122,122,4-2-4
123,123,4-2-4
124,124,4-2-4
125,125,4-2-4
126,126,4-2-4
127,127,4-2-4
128,128,4-2-4
129,129,4-2-4
130,130,4-2-4
131,131,4-2-4
132,132,2-3-5
133,133,2-3-5
134,134,2-3-5
135,135,2-3-5
136,136,2-3-5
137,137,2-3-5
138,138,2-3-5
139,139,2-3-5
140,140,4-2-4
141,141,4-2-4
142,142,4-2-4
143,143,4-2-4
144,144,4-2-4
145,145,2-3-5
146,146,2-3-5
147,147,2-3-5
148,148,2-3-5
149,149,2-3-5
150,150,2-3-5
151,151,2-3-5
152,152,2-3-5
153,153,2-3-5
154,154,4-2-4
155,155,4-2-4
156,156,4-2-4
157,157,2-3-5
158,158,2-3-5
159,159,2-3-5
160,160,2-3-5
161,161,4-2-4
162,162,4-2-4
163,163,4-2-4
164,164,4-2-4
165,165,4-2-4
166,166,4-2-4
167,167,4-2-4
168,168,2-3-5
